Reference;Specie;Infection;n_infection;n_tested_infection;Dissemination_among_infected;n_dissemination_among_infected;n_tested_dissemination_among_infected;Dissemination;n_dissemination;n_tested_dissemination;Transmission_among_infected;n_transmission_among_infected;n_tested_transmission_among_infected;Transmission;n_transmission;n_tested_transmission;Status_of_Mosquitoes_tested_for_transmission;dpe_infection;dpe_infection_cat;dpe_dissemination;dpe_dissemination_cat;dpe_transmission;dpe_transmission_cat;Temperature;Temperature_class;Blood_meal_titer(log10pfu/ml);blood_meal_titer2;blood_meal_titer_class;Viral_strain;Country;Generation;Generation_cat
Turell et al., 1988;Cx. pipiens;70.7;29;41;;;;;;;;;;;;;;7;1w;;;;;26°C;>25°C;5,1 log10 PFU ingested/mosquito;7.6;high;ZH501;Egypt;F73-F105;>F5
Turell et al., 1988;Cx. pipiens;61.1;22;36;;;;;;;;;;;;;;7;1w;;;;;26°C;>25°C;5,3 log10 PFU ingested/mosquito;7.8;high;ZH501;Egypt;F73-F105;>F5
Turell et al., 1988;Cx. pipiens;70;28;40;;;;;;;;;;;;;;7;1w;;;;;26°C;>25°C;5,4 log10 PFU ingested/mosquito;7.9;high;ZH501;Egypt;F73-F105;>F5
Turell et al., 1988;Cx. pipiens;100;19;19;;;;;;;;;;;;;;7;1w;;;;;26°C;>25°C;6,4 log10 PFU ingested/mosquito;8;high;ZH501;Egypt;F73-F105;>F5
Turell et al., 1988;Cx. pipiens;34.6;28;81;;;;;;;;;;;;;;7;1w;;;;;26°C;>25°C;3,0 log10 PFU ingested/mosquito;5.5;medium;ZH501;Egypt;F73-F105;>F5
Turell et al., 1988;Cx. pipiens;2.3;1;44;;;;;;;;;;;;;;7;1w;;;;;26°C;>25°C;3,3 log10 PFU ingested/mosquito;5.8;medium;ZH501;Egypt;F73-F105;>F5
Turell et al., 1988;Cx. pipiens;35.3;12;34;;;;;;;;;;;;;;7;1w;;;;;26°C;>25°C;3,1 log10 PFU ingested/mosquito;5.6;medium;ZH501;Egypt;F73-F105;>F5
Turell et al., 1988;Cx. pipiens;55;22;40;;;;;;;;;;;;;;7;1w;;;;;26°C;>25°C;4,7 log10 PFU ingested/mosquito;7.2;high;ZH501;Egypt;F73-F105;>F5
Turell et al., 1988;Cx. pipiens;75.5;74;98;;;;;;;;;;;;;;7;1w;;;;;26°C;>25°C;5,6 log10 PFU ingested/mosquito;8.1;high;ZH501;Egypt;F73-F105;>F5
Turell et al., 1988;Cx. pipiens;53.1;17;32;;;;;;;;;;;;;;7;1w;;;;;26°C;>25°C;5,2 log10 PFU ingested/mosquito;7.7;high;ZH501;Egypt;F73-F105;>F5
Turell et al., 1988;Cx. pipiens;77.4;41;53;;;;;;;;;;;;;;7;1w;;;;;26°C;>25°C;5,3 log10 PFU ingested/mosquito;7.8;high;ZH501;Egypt;F73-F105;>F5
Turell et al., 1988;Cx. pipiens;86.3;101;117;;;;;;;;;;;;;;7;1w;;;;;26°C;>25°C;5,3 log10 PFU ingested/mosquito;7.8;high;ZH501;Egypt;F73-F105;>F5
Turell et al., 1988;Cx. pipiens;53.8;14;26;;;;;;;;;;;;;;7;1w;;;;;26°C;>25°C;5,4 log10 PFU ingested/mosquito;7.9;high;ZH501;Egypt;F73-F105;>F5
Turell et al., 1988;Cx. pipiens;85.7;6;7;;;;;;;;;;;;;;7;1w;;;;;26°C;>25°C;6,9 log10 PFU ingested/mosquito;9.4;high;ZH501;Egypt;F73-F105;>F5
Faran et al., 1988;Cx. pipiens;100;68;68;4.4;3;68;4.4;3;68;;;;;;;;1;1w;1;1w;1;1w;25-27°C;>25°C;4,4 -> 5,7 log10 PFU ingested/mosquito;6,9 to 8,2;high;ZH501;Egypt;F48-F64;>F5
Faran et al., 1988;Cx. pipiens;97.5;39;40;25.6;10;39;25;10;40;;;;;;;;2;1w;2;1w;2;1w;25-27°C;>25°C;4,4 -> 5,7 log10 PFU ingested/mosquito;6,9 to 8,2;high;ZH501;Egypt;F48-F64;>F5
Faran et al., 1988;Cx. pipiens;90.5;38;42;18.4;7;38;16.7;7;42;;;;;;;;3;1w;3;1w;3;1w;25-27°C;>25°C;4,4 -> 5,7 log10 PFU ingested/mosquito;6,9 to 8,2;high;ZH501;Egypt;F48-F64;>F5
Faran et al., 1988;Cx. pipiens;95.6;65;68;7.7;5;65;7.4;5;68;;;;;;;;4;1w;4;1w;4;1w;25-27°C;>25°C;4,4 -> 5,7 log10 PFU ingested/mosquito;6,9 to 8,2;high;ZH501;Egypt;F48-F64;>F5
Faran et al., 1988;Cx. pipiens;90;18;20;38.9;7;18;35;7;20;;;;;;;;5;1w;5;1w;5;1w;25-27°C;>25°C;4,4 -> 5,7 log10 PFU ingested/mosquito;6,9 to 8,2;high;ZH501;Egypt;F48-F64;>F5
Faran et al., 1988;Cx. pipiens;93.3;14;15;28.6;4;14;26.7;4;15;;;;;;;;6;1w;6;1w;6;1w;25-27°C;>25°C;4,4 -> 5,7 log10 PFU ingested/mosquito;6,9 to 8,2;high;ZH501;Egypt;F48-F64;>F5
Faran et al., 1988;Cx. pipiens;97.2;35;36;22.9;8;35;22.2;8;36;100;4;4;36.4;4;11;disseminated;7;1w;7;1w;7;1w;25-27°C;>25°C;4,4 -> 5,7 log10 PFU ingested/mosquito;6,9 to 8,2;high;ZH501;Egypt;F48-F64;>F5
Faran et al., 1988;Cx. pipiens;96;24;25;41.7;10;24;40;10;25;80;8;10;32;8;25;disseminated;8;2w;8;2w;8;2w;25-27°C;>25°C;4,4 -> 5,7 log10 PFU ingested/mosquito;6,9 to 8,2;high;ZH501;Egypt;F48-F64;>F5
Faran et al., 1988;Cx. pipiens;90.9;10;11;60;6;10;54.5;6;11;83.3;5;6;45.5;5;11;disseminated;9;2w;9;2w;9;2w;25-27°C;>25°C;4,4 -> 5,7 log10 PFU ingested/mosquito;6,9 to 8,2;high;ZH501;Egypt;F48-F64;>F5
Faran et al., 1988;Cx. pipiens;96;24;25;41.7;10;24;40;10;25;100;10;10;40;10;25;disseminated;10;2w;10;2w;10;2w;25-27°C;>25°C;4,4 -> 5,7 log10 PFU ingested/mosquito;6,9 to 8,2;high;ZH501;Egypt;F48-F64;>F5
