Reference;Specie;Infection;n_infection;n_tested_infection;Dissemination_among_infected;n_dissemination_among_infected;n_tested_dissemination_among_infected;Dissemination;n_dissemination;n_tested_dissemination;Transmission_among_infected;n_transmission_among_infected;n_tested_transmission_among_infected;Transmission;n_transmission;n_tested_transmission;Status_of_Mosquitoes_tested_for_transmission;dpe_infection;dpe_infection_cat;dpe_dissemination;dpe_dissemination_cat;dpe_transmission;dpe_transmission_cat;Temperature;Temperature_class;Blood_meal_titer(log10pfu/ml);blood_meal_titer2;blood_meal_titer_class;Viral_strain;Country;Generation;Generation_cat
Gargan et al., 1983;Cx. pipiens;91.9;136;148;;;;;;;27;18;66;;;;infected;7->12;1_to_2w;;;7->12;1_to_2w;25->29°C;>25°C;5,3 PFU ingested;7.8;high;ZH501;Egypt;F14;>F5
Gargan et al., 1983;Cx. pipiens;51;26;51;;;;;;;5;1;19;;;;infected;7->12;1_to_2w;;;7->12;1_to_2w;25->29°C;>25°C;2,4 PFU ingested;4.9;medium;ZH501;Egypt;F6;>F5
Gargan et al., 1983;Cx. pipiens;57.4;54;94;;;;;;;17;5;30;;;;infected;7->12;1_to_2w;;;7->12;1_to_2w;25->29°C;>25°C;3,7 PFU ingested;6.2;medium;ZH501;Egypt;F10;>F5
Amraoui et al., 2012;Cx. pipiens;;;;;;;15.4;2;13;;;;23.1;3;13;;;;14;2w;14;2w;27->29°C;>25°C;8.5;8.5;high;clone13;Morocco;F1;F0/F1
Amraoui et al., 2012;Cx. pipiens;;;;;;;0;0;7;;;;0;0;7;;;;14;2w;14;2w;27->29°C;>25°C;8.5;8.5;high;clone13;Morocco;F1;F0/F1
Amraoui et al., 2012;Cx. pipiens;;;;;;;14.3;1;7;;;;14.3;1;7;;;;14;2w;14;2w;27->29°C;>25°C;8.5;8.5;high;clone13;Morocco;F1;F0/F1
Amraoui et al., 2012;Cx. pipiens;;;;;;;11.1;1;9;;;;0;0;9;;;;14;2w;14;2w;27->29°C;>25°C;8.5;8.5;high;clone13;Algeria;F1;F0/F1
Amraoui et al., 2012;Cx. pipiens;;;;;;;38.1;8;21;;;;28.6;6;21;;;;14;2w;14;2w;27->29°C;>25°C;8.5;8.5;high;clone13;Algeria;F1;F0/F1
Amraoui et al., 2012;Cx. pipiens;;;;;;;0;0;10;;;;0;0;10;;;;14;2w;14;2w;27->29°C;>25°C;8.5;8.5;high;clone13;Algeria;F1;F0/F1
Amraoui et al., 2012;Cx. pipiens;;;;;;;6.3;1;16;;;;18.8;3;16;;;;14;2w;14;2w;27->29°C;>25°C;8.5;8.5;high;clone13;Algeria;F1;F0/F1
Amraoui et al., 2012;Cx. pipiens;;;;;;;0;0;18;;;;0;0;18;;;;14;2w;14;2w;27->29°C;>25°C;8.5;8.5;high;clone13;Algeria;F1;F0/F1
Amraoui et al., 2012;Cx. pipiens;;;;;;;6.3;1;16;;;;12.5;2;16;;;;14;2w;14;2w;27->29°C;>25°C;8.5;8.5;high;clone13;Algeria;F1;F0/F1
Amraoui et al., 2012;Cx. pipiens;;;;;;;29.4;5;17;;;;47.1;8;17;;;;14;2w;14;2w;27->29°C;>25°C;8.5;8.5;high;clone13;Tunisia;F1;F0/F1
Amraoui et al., 2012;Cx. pipiens;;;;;;;7.1;1;14;;;;0;0;14;;;;14;2w;14;2w;27->29°C;>25°C;8.5;8.5;high;clone13;Tunisia;F1;F0/F1
Amraoui et al., 2012;Cx. pipiens;;;;;;;10;2;20;;;;10;2;20;;;;14;2w;14;2w;27->29°C;>25°C;8.5;8.5;high;clone13;Tunisia;F1;F0/F1
Amraoui et al., 2012;Cx. pipiens;;;;;;;0;0;16;;;;0;0;16;;;;14;2w;14;2w;27->29°C;>25°C;8.5;8.5;high;clone13;Tunisia;F1;F0/F1
Amraoui et al., 2012;Cx. pipiens;;;;;;;11.1;2;18;;;;16.7;3;18;;;;21;3w;21;3w;27->29°C;>25°C;8.5;8.5;high;clone13;Morocco;F1;F0/F1
Amraoui et al., 2012;Cx. pipiens;;;;;;;0;0;7;;;;0;0;7;;;;21;3w;21;3w;27->29°C;>25°C;8.5;8.5;high;clone13;Morocco;F1;F0/F1
Amraoui et al., 2012;Cx. pipiens;;;;;;;25;4;16;;;;6.3;1;16;;;;21;3w;21;3w;27->29°C;>25°C;8.5;8.5;high;clone13;Algeria;F1;F0/F1
Amraoui et al., 2012;Cx. pipiens;;;;;;;20;1;5;;;;40;2;5;;;;21;3w;21;3w;27->29°C;>25°C;8.5;8.5;high;clone13;Algeria;F1;F0/F1
Amraoui et al., 2012;Cx. pipiens;;;;;;;33.3;2;6;;;;50;3;6;;;;21;3w;21;3w;27->29°C;>25°C;8.5;8.5;high;clone13;Algeria;F1;F0/F1
Amraoui et al., 2012;Cx. pipiens;;;;;;;0;0;5;;;;0;0;5;;;;21;3w;21;3w;27->29°C;>25°C;8.5;8.5;high;clone13;Algeria;F1;F0/F1
Amraoui et al., 2012;Cx. pipiens;;;;;;;21.4;3;14;;;;28.6;4;14;;;;21;3w;21;3w;27->29°C;>25°C;8.5;8.5;high;clone13;Algeria;F1;F0/F1
Amraoui et al., 2012;Cx. pipiens;;;;;;;10;2;20;;;;15;3;20;;;;21;3w;21;3w;27->29°C;>25°C;8.5;8.5;high;clone13;Algeria;F1;F0/F1
Amraoui et al., 2012;Cx. pipiens;;;;;;;9.1;1;11;;;;0;0;11;;;;21;3w;21;3w;27->29°C;>25°C;8.5;8.5;high;clone13;Algeria;F1;F0/F1
Amraoui et al., 2012;Cx. pipiens;;;;;;;0;0;7;;;;14.3;1;7;;;;21;3w;21;3w;27->29°C;>25°C;8.5;8.5;high;clone13;Algeria;F1;F0/F1
Amraoui et al., 2012;Cx. pipiens;;;;;;;9.1;1;11;;;;27.3;3;11;;;;21;3w;21;3w;27->29°C;>25°C;8.5;8.5;high;clone13;Tunisia;F1;F0/F1
Amraoui et al., 2012;Cx. pipiens;;;;;;;36;9;25;;;;40;10;25;;;;21;3w;21;3w;27->29°C;>25°C;8.5;8.5;high;clone13;Tunisia;F1;F0/F1
Amraoui et al., 2012;Cx. pipiens;;;;;;;5;1;20;;;;25;5;20;;;;21;3w;21;3w;27->29°C;>25°C;8.5;8.5;high;clone13;Tunisia;F1;F0/F1
Amraoui et al., 2012;Cx. pipiens;;;;;;;12.5;3;24;;;;16.7;4;24;;;;21;3w;21;3w;27->29°C;>25°C;8.5;8.5;high;clone13;Tunisia;F1;F0/F1
Turell et al., 1984;Cx. pipiens;77.9;662;850;;;;33;70;212;;;;16.9;71;419;;7->15;1_to_2w;7->15;1_to_3w;7->15;1_to_3w;25->27°C;>25°C;4,2->7,2 PFU/mosquito;6.7->9.7;medium_to_high;ZH501;Egypt;F8 -> F19;>F5
Meegan et al., 1980;Cx. pipiens;80;4;5;;;;;;;;;;40;2;5;;7;1w;;;7;1w;26->27°C;>25°C;10^6.5 MICLD50/mL;10^6.5 MICLD50/mL;medium;NA;Egypt;F4;F2/F5
Meegan et al., 1980;Cx. pipiens;100;5;5;;;;;;;;;;40;2;5;;9;2w;;;9;2w;26->27°C;>25°C;10^6.5 MICLD50/mL;10^6.5 MICLD50/mL;medium;NA;Egypt;F4;F2/F5
Meegan et al., 1980;Cx. pipiens;80;4;5;;;;;;;;;;40;2;5;;12;2w;;;12;2w;26->27°C;>25°C;10^6.5 MICLD50/mL;10^6.5 MICLD50/mL;medium;NA;Egypt;F4;F2/F5
Turell et al, 1985;Cx. pipiens;37.7;23;61;23.5;4;17;6.6;4;61;10;1;10;;;;infected_feeding;;;10 -> 28;2_to_4w;14->21;2_to_3w;13°C;<20°C;4.8;4.8;medium;ZH501;Egypt;F35, F45, F46;>F5
Turell et al, 1985;Cx. pipiens;75;60;80;27.3;12;44;15;12;80;13;5;39;;;;infected_feeding;;;5 -> 28;1_to_4w;5->21;1_to_3w;26°C;>25°C;4.8;4.8;medium;ZH501;Egypt;F35, F45, F46;>F5
Turell et al, 1985;Cx. pipiens;91.1;41;45;19.5;8;41;17.8;8;45;21;3;14;;;;infected_feeding;;;3-> 28;1_to_4w;4->21;1_to_3w;33°C;>25°C;4.8;4.8;medium;ZH501;Egypt;F35, F45, F46;>F5
Turell et al, 1985;Cx. pipiens;34.3;12;35;16.7;1;6;2.9;1;35;;;;;;;;;;15-> 28;3_to_4w;;;13°C;<20°C;5.7;5.7;medium;ZH501;Egypt;F35, F45, F46;>F5
Turell et al, 1985;Cx. pipiens;96.9;31;32;18.5;5;27;15.6;5;32;60;3;5;;;;infected_feeding;;;6 -> 28;1_to_4w;15->21;2_to_3w;13-26°C;13 then 26°C;5.7;5.7;medium;ZH501;Egypt;F35, F45, F46;>F5
Turell et al, 1985;Cx. pipiens;80.8;21;26;11.8;2;17;7.7;2;26;;;;;;;;;;4 -> 28;1_to_4w;;;13-26°C;13 then 26°C;5.7;5.7;medium;ZH501;Egypt;F35, F45, F46;>F5
Turell et al, 1985;Cx. pipiens;88.9;24;27;9.1;1;11;3.7;1;27;25;1;4;;;;infected_feeding;;;5 -> 28;1_to_4w;5->21;2_to_3w;26°C;>25°C;5.7;5.7;medium;ZH501;Egypt;F35, F45, F46;>F5
Brustolin et al., 2017;Cx. pipiens;14.3;1;7;0;0;1;0;0;7;;;;;;;;14;2w;14;2w;;;26°C (day) / 22°C (night);26(d)/22(n);5,7 log10 TCID50/mL;5.5;medium;strain 56/74;Spain;Colony;>F5
Brustolin et al., 2017;Cx. pipiens;20;1;5;0;0;3;0;0;5;;;;;;;;14;2w;14;2w;;;26°C (day) / 22°C (night);26(d)/22(n);7 log10 TCID50/mL;6.8;medium;strain 56/74;Spain;Colony;>F5
Brustolin et al., 2017;Cx. pipiens;12.7;8;63;0;0;8;0;0;63;;;;;;;;14;2w;14;2w;;;26°C (day) / 22°C (night);26(d)/22(n);5,7 log10 TCID50/mL;5.5;medium;strain 56/74;Spain;Colony;>F5
Brustolin et al., 2017;Cx. pipiens;7.7;3;39;66.6;2;3;5.1;2;39;;;;;;;;14;2w;14;2w;;;26°C (day) / 22°C (night);26(d)/22(n);7 log10 TCID50/mL;6.8;medium;strain 56/74;Spain;Colony;>F5
Brustolin et al., 2017;Cx. pipiens;29;18;62;33.3;6;18;9.7;6;62;50;3;6;4.8;3;62;disseminated;14;2w;14;2w;14;2w;26°C (day) / 22°C (night);26(d)/22(n);7,5 log10 TCID50/mL;7.3;high;strain 56/74;Spain;Colony;>F5
McIntosh et al., 1973;Cx. theileri;100;25;25;;;;;;;50;1;2;;;;infected_feeding;20 -> 22;3_to_4w;;;19;3w;26°C;>25°C;6.5 log10 SMICLD50 / 0.02mL;8.2 log10 SMICLD50/mL;high;unknown (wild type);South Africa;F12;>F5
McIntosh et al., 1973;Cx. theileri;95.5;42;44;;;;;;;45.5;5;11;;;;infected_feeding;19 -> 22;3_to_4w;;;18;3w;26°C;>25°C;8.0 log10 SMICLD50 / 0.02mL;9.7 log10 SMICLD50/mL;high;unknown (wild type);South Africa;F12;>F5
McIntosh et al., 1973;Cx. theileri;91.7;22;24;;;;;;;71.4;5;7;;;;infected_feeding;21 -> 22;4w;;;20;3w;26°C;>25°C;8.5 log10 SMICLD50 / 0.02mL;10.2 log10 SMICLD50/mL;high;unknown (wild type);South Africa;F12;>F5
McIntosh et al., 1980;Cx. theileri;98.7;77;78;;;;;;;;;;;;;;12 -> 34;2_to_>4w;;;;;25-26°C;>25°C;8;8;high;AN 1830;South Africa;F0, F3, F11;NA
McIntosh et al., 1980;Cx. theileri;75.7;53;70;;;;;;;;;;;;;;12 -> 34;2_to_>4w;;;;;25-26°C;>25°C;6.4;6.4;medium;AN 1830;South Africa;F0, F3, F11;NA
